date,id,name,absolute_magnitude_h,is_potentially_hazardous,diameter_min_m,diameter_max_m,velocity_km_s,miss_distance_km
2026-03-22,3712947,(2015 EQ),26.1,False,16.0160337979,35.8129403019,16.2815087358,27575878.17554107
2026-03-22,3733861,(2015 VT64),26.0,False,16.7708462163,37.5007521798,15.515158144,69226706.19298458
2026-03-22,3836962,(2018 YU),19.99,False,267.026877056,597.0902489167,10.4949024382,21132883.50575859
2026-03-22,54017178,(2020 KY2),23.59,False,50.8809224871,113.773201439,5.8594774237,70552992.0946196
2026-03-22,54253543,(2022 EH4),24.93,False,27.4507981651,61.3818507339,22.5447260474,69766720.05129512
2026-03-22,54349052,(2023 FF),23.51,False,52.7904029034,118.0429294515,17.1649331858,51451448.2495003
2026-03-22,54373550,(2023 MP),25.09,False,25.5008687857,57.0216760901,15.9992095738,73813218.34336196
2026-03-22,54381325,(2023 RJ3),21.02,True,166.1709017398,371.5694321726,16.6119205127,20327375.764395263
2026-03-22,54384224,(2023 SN),26.49,False,13.3830461816,29.925401008,17.0438505499,30116749.692338847
2026-03-22,54487282,(2024 TS2),26.97,False,10.7288945451,23.9905375262,29.6662640292,70718787.53935577
2026-03-22,54495687,(2024 UW2),24.93,False,27.4507981651,61.3818507339,15.1381935568,37676725.520192996
2026-03-22,54603322,(2026 DH3),23.71,False,48.1454196618,107.6564311691,7.2633597425,10368023.141597342
2026-03-22,54606217,(2026 EM1),23.15,False,62.3096019112,139.3285055244,15.1711663039,14202873.104829198
2026-03-22,2885377,885377 (2018 YU),19.93,False,274.5079816514,613.8185073387,10.4949030627,21132886.76699216
2026-03-22,54606359,(2026 EE3),26.003,False,16.7476924337,37.4489787481,10.2290656773,3895776.373591229
2026-03-22,54606417,(2026 ER3),25.613,False,20.0426423413,44.8167107239,10.1668911429,7022238.31057268
2026-03-22,54606456,(2026 FK),26.712,False,12.0824491655,27.0171776687,15.4254622515,2651417.565944266
2026-03-22,54606474,(2026 FU),27.65,False,7.8443141245,17.5404196192,4.4034586254,592547.334489941
2026-03-22,54606570,(2026 FH3),26.087,False,16.1122049152,36.0279854578,14.0980099329,3936175.442942386
2026-03-22,54606675,(2026 FW3),22.839,False,71.9043188571,160.7829448404,23.6516046758,12878120.745919336
2026-03-20,2248590,248590 (2006 CS),16.26,False,1487.835704774,3326.901775226,33.4457431375,23591918.121124137
2026-03-20,3472698,(2009 UX87),25.3,False,23.150212221,51.7654482198,13.9150928814,60006755.31429846
2026-03-20,3713306,(2015 EO7),25.6,False,20.1629919443,45.0858206172,4.4921060589,21065927.70284674
2026-03-20,3835874,(2018 VD),27.1,False,10.1054341542,22.5964377109,18.6770385432,26507510.371224172
2026-03-20,3989355,(2020 CB),27.7,False,7.6657557353,17.1411509231,7.2271891228,39120909.81733055
2026-03-20,54049855,(2020 OB6),24.9,False,27.8326768072,62.2357573367,4.1098429458,10798198.623485425
2026-03-20,54095181,(2020 WZ4),24.36,False,35.690692667,79.8068149676,9.2805553816,68541454.86858986
2026-03-20,54524638,(2025 FR7),25.09,False,25.5008687857,57.0216760901,17.5215922986,10077701.292929363
2026-03-20,54537957,(2025 NU),25.07,False,25.7368254194,57.5492911629,5.5756800091,28784065.415004995
